popularity,original_title,runtime,vote_count,budget_adj,revenue_adj,prim_genre,second_genre,prim_actor,second_actor,prim_director,profit_adj,release_date,movie_duration,vote_adj
32.985763,Jurassic World,124,5562,137999939.280026,1392445892.5238,Action,Adventure,Chris Pratt,Bryce Dallas Howard,Colin Trevorrow,1254445953.243774,2015-06-09,long_movie,3.6986778722968126
28.419936,Mad Max: Fury Road,120,6185,137999939.280026,348161292.489031,Action,Adventure,Tom Hardy,Charlize Theron,George Miller,210161353.20900503,2015-05-13,long_movie,4.493440606743876
13.112507,Insurgent,119,2480,101199955.472019,271619025.407628,Adventure,Science Fiction,Shailene Woodley,Theo James,Robert Schwentke,170419069.93560898,2015-03-18,long_movie,1.594854975914728
11.173104,Star Wars: The Force Awakens,136,5292,183999919.040035,1902723129.80182,Action,Adventure,Harrison Ford,Mark Hamill,J.J. Abrams,1718723210.761785,2015-12-15,long_movie,4.060161935021011
9.335014,Furious 7,137,2947,174799923.088033,1385748801.47052,Action,Crime,Vin Diesel,Paul Walker,James Wan,1210948878.382487,2015-04-01,long_movie,2.1974069898534387
9.1107,The Revenant,156,3929,124199945.352024,490314247.021731,Western,Drama,Leonardo DiCaprio,Tom Hardy,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,366114301.669707,2015-12-25,long_movie,2.8919544942092856
8.654359,Terminator Genisys,125,2598,142599937.256027,405355075.683766,Science Fiction,Action,Arnold Schwarzenegger,Jason Clarke,Alan Taylor,262755138.427739,2015-06-23,long_movie,1.5384236958081376
7.6674,The Martian,141,4572,99359956.2816192,547749654.310152,Drama,Adventure,Matt Damon,Jessica Chastain,Ridley Scott,448389698.02853286,2015-09-30,long_movie,3.5534693040893717
7.40416499999999,Minions,91,2893,68079970.0448131,1064192016.79551,Family,Animation,Sandra Bullock,Jon Hamm,Kyle Balda,996112046.7506969,2015-06-17,short_movie,1.9206210925489393
6.326804,Inside Out,94,3935,160999929.160031,785411574.698907,Comedy,Animation,Amy Poehler,Phyllis Smith,Pete Docter,624411645.538876,2015-06-09,short_movie,3.2182023162857436
